house_id,street_id,street_name,district_id,district_name,house_number
6729,332,40 лет Октября,19,Центр,10
6730,332,40 лет Октября,19,Центр,11
6731,332,40 лет Октября,19,Центр,15
6732,332,40 лет Октября,19,Центр,2
6733,332,40 лет Октября,19,Центр,4
6734,333,40 лет Победы,20,Южный,1
6735,333,40 лет Победы,20,Южный,10
6736,333,40 лет Победы,20,Южный,11
6737,333,40 лет Победы,20,Южный,12
6738,333,40 лет Победы,20,Южный,13
6739,333,40 лет Победы,20,Южный,14
6740,333,40 лет Победы,20,Южный,15
6741,333,40 лет Победы,20,Южный,16
6742,333,40 лет Победы,20,Южный,16/1
6743,333,40 лет Победы,20,Южный,17
6744,333,40 лет Победы,20,Южный,18
6745,333,40 лет Победы,20,Южный,19
6746,333,40 лет Победы,20,Южный,2
6747,333,40 лет Победы,20,Южный,20
6748,333,40 лет Победы,20,Южный,21
6749,333,40 лет Победы,20,Южный,22
6750,333,40 лет Победы,20,Южный,23
6751,333,40 лет Победы,20,Южный,24
6752,333,40 лет Победы,20,Южный,25
6753,333,40 лет Победы,20,Южный,26
6754,333,40 лет Победы,20,Южный,27
6755,333,40 лет Победы,20,Южный,28
6756,333,40 лет Победы,20,Южный,29
6757,333,40 лет Победы,20,Южный,3
6758,333,40 лет Победы,20,Южный,30
6759,333,40 лет Победы,20,Южный,31
6760,333,40 лет Победы,20,Южный,32
6761,333,40 лет Победы,20,Южный,34
6762,333,40 лет Победы,20,Южный,35
6763,333,40 лет Победы,20,Южный,36
6764,333,40 лет Победы,20,Южный,37
6765,333,40 лет Победы,20,Южный,39
6766,333,40 лет Победы,20,Южный,4
6767,333,40 лет Победы,20,Южный,41
6768,333,40 лет Победы,20,Южный,43
6769,333,40 лет Победы,20,Южный,45
6770,333,40 лет Победы,20,Южный,47
6771,333,40 лет Победы,20,Южный,49
6772,333,40 лет Победы,20,Южный,49/2
6773,333,40 лет Победы,20,Южный,5
6774,333,40 лет Победы,20,Южный,51
6775,333,40 лет Победы,20,Южный,6
6776,333,40 лет Победы,20,Южный,7
6777,333,40 лет Победы,20,Южный,8
6778,333,40 лет Победы,20,Южный,9
6779,334,50 лет Победы,21,Восточный-2,1/1
6780,334,50 лет Победы,21,Восточный-2,1/4
6781,334,50 лет Победы,21,Восточный-2,1/5
6782,334,50 лет Победы,21,Восточный-2,1/6
6783,334,50 лет Победы,21,Восточный-2,1/7
6784,334,50 лет Победы,21,Восточный-2,1/8
6785,334,50 лет Победы,21,Восточный-2,10
6786,334,50 лет Победы,21,Восточный-2,12
6787,334,50 лет Победы,21,Восточный-2,13
6788,334,50 лет Победы,21,Восточный-2,16
6789,334,50 лет Победы,21,Восточный-2,17
6790,334,50 лет Победы,21,Восточный-2,19
6791,334,50 лет Победы,21,Восточный-2,2
6792,334,50 лет Победы,21,Восточный-2,2/5
6793,334,50 лет Победы,21,Восточный-2,2/7
6794,334,50 лет Победы,21,Восточный-2,2/9
6795,334,50 лет Победы,21,Восточный-2,20
6796,334,50 лет Победы,21,Восточный-2,21
6797,334,50 лет Победы,21,Восточный-2,22
6798,334,50 лет Победы,21,Восточный-2,23
6799,334,50 лет Победы,21,Восточный-2,24
6800,334,50 лет Победы,21,Восточный-2,25
6801,334,50 лет Победы,21,Восточный-2,26
6802,334,50 лет Победы,21,Восточный-2,28
