улица	район
40 лет Октября ул.	= Центр
40 лет Победы ул.	= Южный
50 лет Победы ул.	= Восточный-2
60 лет Победы ул.	= Восточный-1
65 лет Победы ул.	= Восточный-2
70 лет Октября ул.	= Южный
Абзелиловская ул.	= Восточный-1
Ак Кайын ул.	    = Северный
Ахмет Заки Валиди ул.	= Северный
Ахмета Лутфуллина ул.	= Восточный-2
Бииш Батыра ул.	= Восточный-2
Вафира Тайсина ул.	= Восточный-1
Весенняя ул.	= Восточный-1
Гагарина ул.	= Центр
Гинията Ушанова ул.	= Восточный-1
Горная ул.	= Центр
Дружбы ул.	= Южный
Емельяна Пугачева ул.	= Восточный-1
Загира Исмагилова ул.	= Восточный-1
Зайнаб Биишевой ул.	= Восточный-1
Идяш ул.	= Южный
Иншара Султанбаева ул.	= Восточный-2
Искра переулок	= Южный
Ишмурзы Хидиятова ул.	= Восточный-2
Ишмухамета Мырзакаева ул.	= Восточный-1
Кима Ахмедьянова ул.	= Восточный-1
Кирова ул.	= Центр
Колхозная ул.	= Центр
Комарова ул.	= Центр
Коммунистическая ул.	= Центр
Комсомольская ул.	= Центр
Курьятмас ул.	= Восточный-2
Ленина ул.	= Центр
Лесная ул.	= Южный
Луговая ул.	= Восточный-2
Магнитогорская ул.	= Восточный-1
Мажита Гафури ул.	= Южный
Малика Якшимбетова ул.	= Восточный-1
Матросова ул.	= Центр
Мелиораторов ул.	= Южный
Механизаторов ул.	= Южный
Миллята Хакимова ул.	= Восточный-1
Минислама Мирсаяпова ул.	= Восточный-2
Мира ул.	= Центр
Молодежная ул.	= Центр
Мугалляма Мирхайдарова ул.	= Центр
Мурзахана Шамсутдинова ул.	= Восточный-2
Мустая Карима ул.	= Восточный-1
Мусы Гареева ул.	= Даутово
Партизанская ул.	= Центр
Первомайская ул.	= Центр
Пионерская ул.	= Южный
Пятая ул.	= Восточный-2
Раиса Усманова ул.	= Восточный-2
Рамазана Уметбаева ул.	= Восточный-1
Расуля Кужахметова ул.	= Восточный-1
Рауфа Давлетова ул.	= Южный
Рафика Сальманова ул.	= Восточный-2
Рихарда Зорге ул.	= Южный
Садовая ул.	= Восточный-2
Салавата Кадырова ул.	= Восточный-2
Салавата Юлаева ул.	= Центр
Сарии Миржановой ул.	= Восточный-2
Сафы Истамгалина ул.	= Восточный-1
Советская ул.	= Центр
Солнечная ул.	= Восточный-2
Сосновая ул.	= Восточный-1
Строителей ул.	= Южный
Тагира Кусимова ул.	= Южный
Тамьян ул.	= Восточный-2
Тангатарская ул.	= Центр
Тунгаур ул.	= Восточный-2
Урал Батыра ул.	= Северный
Уральская ул.	= Северный
Учалинская ул.	= Центр
Файзи Гаскарова ул.	= Восточный-2
Файзрахмана Хисматуллина ул.	= Северный
Фаттаха Ибрагимова ул.	= Восточный-1
Фахиры Гумеровой ул.	= Восточный-1
Хадии Давлетшиной ул.	= Восточный-2
Целинная ул.	= Восточный-2
Чапаева ул.	= Центр
Шагали Шакмана ул.	= Северный
Шаймуратова ул.	Центр
Шайхзады Бабича ул.	= Северный
Школьная ул.	= Центр
Юбилейная ул.	= Центр
Южная ул.	= Центр
Яныбая Хамматова ул.	Восточный-1
